"Bezirk";"Name";"Bevölkerung";"Fläche (ha)";"Bezirksbudget (€)";"Bezirksvoranschlag, zentrale Verrechnung (MA 5 - BA 5) (€)";"Sonstige kulturelle Maßnahmen (MA 7 - BA 5) (€)";"Kindergärten (MA 10 - BA 5) (€)";"Musikschule Wien (MA 13 - BA 5) (€)";"Stadtentwicklung, Stadtplanung (MA18, MA46 - BA 5) (€)";"Straßenbau (MA 28 - BA 5) (€)";"Wasserversorgung (MA 31 - BA 5) (€)";"Elektro- und lichttechnische Verkehrsregelung und - sicherung (MA 33 - BA 5) (€)";"Amtsgebäude - Errichtung und Erhaltung (MA 34 - BA 5) (€)";" Pensionist*innenklubs (MA 40 - BA 5) (€)";"Park- und Gartenanlagen, Kinderspielplätze (MA 42 - BA 5) (€)";"Bäder (MA 44 - BA 5) (€)";"Straßenreinigung (MA 48 - BA 5) (€)";"Spielplätze (MA 51 - BA 5) (€)";"Information und Öffentlichkeitsarbeit (MA 53 - BA 5) (€)";"Allgemeiner Sachaufwand (MA 54 - BA 5) (€)";"Allgemein bildende Pflichtschulen (MA 56 - BA 5) (€)";"Marktservice und Lebensmittelsicherheit (MA 59 - BA 5) (€)";"Kulturelle Jugendbetreuung (MA 13 - BA 5) (€)";"Bedürfnisanstalten (MA 48 - BA 5) (€)";"Techn. Verkehrsleiteinrichtungen - Bodenmarkierungen und Verkehrszeichen (MA 28 - BA 5) (€)";"Einzelbäume";"BV-Sitze";"Grüne Bezirksrät:innen";"Wahberechtigte (NR 2024)";"Wahlberechtigte (EU 2024)";"Wahlberechtigte (Gemeinde 2025)";"Wahberechtigte (Bezirk 2025)";"EU-Bürgerinnen 2025"
1;"Innere Stadt";16281;"286.9";9113200;2400;70000;105800;0;3700;3003200;200;1474300;16200;51500;1190800;0;223500;0;118000;24300;835900;45100;90900;1301600;555800;4500;40;6;11140;11044;10017;12145;2128
2;"Leopoldstadt";112675;"1924.2";21535800;3254400;220000;802300;28800;7800;5120600;100;965600;1000;447900;2736700;116200;152400;10000;100000;13200;4489200;955600;1094200;407500;612300;21354;60;18;60004;60384;59324;76249;16925
3;"Landstraße";98881;"739.8";11976600;6600;310000;622100;24800;12500;1691000;200;1755900;20400;362600;1691100;112100;111900;24500;157000;22700;1952500;210500;997800;1626900;263500;6492;60;15;55118;56048;53761;70088;16327
4;"Wieden";33444;"177.5";4693000;672100;250000;119200;0;34900;550200;200;285500;20300;148100;807600;0;103900;0;71300;10900;386600;0;803300;223700;205200;1685;40;11;19382;19759;18691;24450;5759
5;"Margareten";54581;"201.2";9060800;200;275200;327100;234200;19700;3036000;200;781900;20000;300900;778700;72400;103000;500;188000;28600;1460600;0;932500;245900;255200;2232;40;14;28447;28952;27634;37178;9544
6;"Mariahilf";31083;"145.5";6982000;441300;115000;69500;0;5200;1743100;200;262500;7700;180600;913000;0;99000;0;246900;16700;272600;1129000;619600;700700;159400;1405;40;14;18904;19298;18186;23702;5516
7;"Neubau";31330;"160.8";7505500;1418900;430000;68800;0;81300;1318900;200;642000;9600;349200;705400;69500;114800;0;379000;53300;388500;10500;1126100;164000;175500;1281;40;20;19281;19881;18546;24125;5579
8;"Josefstadt";24242;109;4843400;792900;440000;67900;0;6600;868100;200;246500;52000;107300;473600;0;53100;10000;390900;18200;306700;0;719400;60200;229800;970;40;18;14839;15183;14190;18528;4338
9;"Alsergrund";41664;"296.7";18077400;1978400;280000;325800;62700;5400;3534700;200;559200;9800;191800;1476000;0;43100;0;89000;10900;8405400;15300;812000;52500;225200;3133;40;11;24425;24957;23570;31413;7843
10;"Favoriten";223190;"3182.8";45845000;2595400;490000;1673700;28600;14400;10419100;200;1961300;11600;624000;5172700;49800;220400;59100;142000;15900;17703500;645400;2826800;511100;680000;21186;60;5;104744;105906;103623;131824;28201
11;"Simmering";112149;"2325.6";22211100;645600;245000;743200;35000;74000;1190500;200;725100;85000;297900;1894700;208100;179800;52000;80000;19900;14138600;300;980000;226000;390200;11242;60;4;58847;59180;58436;71462;13026
